1971;Australia;0,8803
1972;Australia;0,8387
1973;Australia;0,7047
1974;Australia;0,695
1975;Australia;0,7647
1976;Australia;0,8187
1977;Australia;0,9024
1978;Australia;0,874
1979;Australia;0,8947
1980;Australia;0,8776
1981;Australia;0,8699
1982;Australia;0,9838
1983;Australia;1,1094
1984;Australia;1,137
1985;Australia;1,428
1986;Australia;1,4905
1987;Australia;1,4257
1988;Australia;1,2753
1989;Australia;1,2628
1990;Australia;1,2809
1991;Australia;1,2842
1992;Australia;1,3602
1993;Australia;1,4708
1994;Australia;1,3669
1995;Australia;1,3501
1996;Australia;1,2775
1997;Australia;1,3446
1998;Australia;1,5896
1999;Australia;1,5494
2000;Australia;1,7197
2001;Australia;1,9346
2002;Australia;1,8392
2003;Australia;1,5328
2004;Australia;1,3578
2005;Australia;1,3111
2006;Australia;1,3271
2007;Australia;1,1918
2008;Australia;1,1714
2009;Australia;1,2615
2010;Australia;1,087
2011;Australia;0,9679
2012;Australia;0,9653
2013;Australia;1,0327
2014;Australia;1,1069
2015;Australia;1,3294
2016;Australia;1,3432
1995;Brazil;0,9161
1996;Brazil;1,0051
1997;Brazil;1,0779
1998;Brazil;1,1605
1999;Brazil;1,8207
2000;Brazil;1,8301
2001;Brazil;2,3527
2002;Brazil;2,9213
2003;Brazil;3,0750
2004;Brazil;2,9262
2005;Brazil;2,4352
2006;Brazil;2,1738
2007;Brazil;1,9461
2008;Brazil;1,8326
2009;Brazil;1,9976
2010;Brazil;1,7600
2011;Brazil;1,6723
2012;Brazil;1,9535
2013;Brazil;2,1570
2014;Brazil;2,3512
2015;Brazil;3,3360
2016;Brazil;3,4839
1971;Canada;1,0099
1972;Canada;0,9907
1973;Canada;1,0002
1974;Canada;0,9780
1975;Canada;1,0175
1976;Canada;0,9863
1977;Canada;1,0633
1978;Canada;1,1405
1979;Canada;1,1713
1980;Canada;1,1693
1981;Canada;1,1990
1982;Canada;1,2344
1983;Canada;1,2325
1984;Canada;1,2952
1985;Canada;1,3659
1986;Canada;1,3896
1987;Canada;1,3259
1988;Canada;1,2306
1989;Canada;1,1842
1990;Canada;1,1668
1991;Canada;1,1460
1992;Canada;1,2085
1993;Canada;1,2902
1994;Canada;1,3664
1995;Canada;1,3725
1996;Canada;1,3638
1997;Canada;1,3849
